1A				
ei dift 1 tavussa?				
Ess.	hánásin	ääni->áná		
	hänisin			
part.	hánásid	ääni->áná		
	hänisid			
				
1b				
IMMEEL				
g-v				
mmee-›me				
Nom. 	immeel		imeleh	mmee-›me
Gen.	immeel		imelij	mmee-›me
Akk.	immeel		imelijd	mmee-›me
Ill.	imelân	mmee-›me	imeláid	mmee-›me
Lokat.	imelist	mmee-›me	imeláin	mmee-›me
Kom. 	imeláin	mmee-›me	imelijguin	mmee-›me
Abess.	immeelttáá		imelijttáá	mmee-›me
Ess.	imelin	mmee-›me		
part.	imelid	mmee-›me		
				
2b				
NAVER				
k-v				
v->hh				
v->h				
e->aa				
aa->a				
Nom. 	naver		nahareh	ve>ha
Gen.	nahhaar	ve>hhaa	naharij	ve>ha
Akk.	nahhaar	ve>hhaa	naharijd	ve>ha
Ill.	naharân	ve>ha	naharáid	ve>ha
Lokat.	naharist	ve>ha	naharijn	ve>ha
Kom. 	naharáin	ve>ha	naharijguin	ve>ha
Abess.	nahhaarttáá	ve>hhaa	naharijttáá	ve>ha
Ess.	naharin			
	naverin			
part.	naharid			
	naverid			
2b				
HIÐES				
k-v				
đ->tt				
đ->t				
e->á				
Nom. 	hiđes		hitáseh	đe->tá
Gen.	hittás	đe->ttá	hitásij	đe->tá
Akk.	hittás	đe->ttá	hitásijd	đe->tá
Ill.	hitásân	đe->tá	hitásáid	đe->tá
Lokat.	hitásist	đe->tá	hitásijn	đe->tá
Kom. 	hitásáin	đe->tá	hitásijguin	đe->tá
Abess.	hitásttáá vâi 		hitásijttáá	đe->tá
	hittásttáá	đe->tá		
Ess.	hitásin			
	hiđesin	đe->tá		
part.	hitásid			
	hiđesid			
				
				
				
				
				
2b				
KYEVER				
d-k-v				
v->pp				
ye´->ye				
e->i				
Nom. 	kye´ver		kye´pireh	ye´ve->ye´pi
Gen.	kyeppir	ye´ve->yeppi	kye´pirij	ye´ve->ye´pi
Akk.	kyeppir	ye´ve->yeppi	kye´pirijd	ye´ve->ye´pi
Ill.	kye´pirân	ye´ve->ye´pi	kye´piráid	ye´ve->ye´pi
Lokat.	kye´pirist	ye´ve->ye´pi	kye´pirijn	ye´ve->ye´pi
Kom. 	kye´piráin	ye´ve->ye´pi	kye´pirijguin	ye´ve->ye´pi
Abess.	kyeppirttáá	ye´ve->yeppi	kye´pirijttáá	ye´ve->ye´pi
Ess.	kye´pirin	ye´ve->ye´pi		
	kye´verin			
