							
							
N+Sg+Gen	kaavpug		Gen.	kaavpug	ka´vpugij		
N+Sg+Acc	kaavpug		Akk.	kaavpug	ka´vpugijd		
N+Sg+Ill	[kaavpugân, kavpugân]		Ill.	kaavpugân~kavpugân	ka´vpugáid		
N+Sg+Loc	ka´vpugist		Lokat.	ka´vpugist	ka´vpugijn		
N+Sg+Com	ka´vpugáin		Kom. 	ka´vpugáin	ka´vpugijguin		
N+Sg+Abe	ka´vpugttáá		Abess.	ka´vpugttáá	ka´vpugijttáá		
N+Ess	ka´vpugin		Ess.	ka´vpugin			
N+Par	ka´vpugid		part.	ka´vpugid			
N+Pl+Nom	ka´vpugeh						
N+Pl+Gen	ka´vpugij						
N+Pl+Acc	ka´vpugijd						
N+Pl+Ill	ka´vpugáid						
N+Pl+Loc	ka´vpugijn						
N+Pl+Com	ka´vpugijguin						
N+Pl+Abe	ka´vpugijttáá						
							
							
							
							
			2A				
			HÄÄITIS				
			v-k-v				
			t->tt				
			ää->á				
			i->á				
Noun - hääitis:	# 2A v-k-v, t->tt, ää->á, i >á, VV > V		ää->ä				
N+Sg+Nom	hääitis		Nom. 	hääitis		háittáseh	ääiti->áittá
N+Sg+Gen	háittás		Gen.	háittás	ääiti->áittá	háittásij	ääiti->áittá
N+Sg+Acc	háittás		Akk.	háittás	ääiti->áittá	háittásijd	ääiti->áittá
N+Sg+Ill	háittásân		Ill.	háittásân	ääiti->áittá	háittásáid	ääiti->áittá
N+Sg+Loc	háittásist		Lokat.	háittásist	ääiti->áittá	háittásijn	ääiti->áittá
N+Sg+Com	háittásáin		Kom. 	háittásáin	ääiti->áittá	háittásijguin	ääiti->áittá
N+Sg+Abe	háittásttáá		Abess.	háittásttáá	ääiti->áittá	háittásijttáá	ääiti->áittá
N+Ess	háittásin		Ess.	háittásin	ääiti->áittá		
N+Par	häitisin			häitisin	ää->ä		
N+Pl+Nom	háittásid		part.	háittásid	ääiti->áittá		
N+Pl+Gen	häitisin			häitisin	ää->ä		
N+Pl+Acc	háittáseh						
N+Pl+Ill	háittásij						
N+Pl+Loc	háittásijd						
N+Pl+Com	háittásáid						
N+Pl+Abe	háittásijn						
	háittásijguin						
	háittásijttáá						
							
							
							
							
			2a				
			ČA´ SKES				
			v-kk				
			?->?				
Noun - ča´skes:	# 2A v > kk, e > a, ? > ?		e->a				
N+Sg+Nom	ča´skes		Nom. 	ča´skes		časkaseh	
N+Sg+Gen	časkas		Gen.	časkas		časkasij	
N+Sg+Acc	časkas		Akk.	časkas		časkasijd	
N+Sg+Ill	časkasân		Ill.	časkasân		časkasáid	
N+Sg+Loc	časkasist		Lokat.	časkasist		časkasijn	
N+Sg+Com	časkasáin		Kom. 	časkasáin		časkasijguin	
N+Sg+Abe	časkasttáá		Abess.	časkasttáá		časkasijttáá	
N+Ess	[časkasin, ča´skesin]		Ess.	časkasin			
N+Par	[časkasid, ča´skesid]			ča´skesin			
N+Pl+Nom	časkaseh		part.	časkasid			
N+Pl+Gen	časkasij			ča´skesid			
N+Pl+Acc	časkasijd						
N+Pl+Ill	časkasáid						
N+Pl+Loc	časkasijn						
N+Pl+Com	časkasijguin						
N+Pl+Abe	časkasijttáá						
							
							
							
							
							
			2a				
			EEBIR				
			v-k-v				
			b->b´b				
			ee->iä				
Noun - eebir:	# 2A v - k -v, b > b'b, ee > iä, i>á		i->á				
N+Sg+Nom	eebir		Nom. 	eebir		iäb´báreh	eebi->iäb´bá
N+Sg+Gen	iäb´bár		Gen.	iäb´bár	eebi->iäb´bá	iäb´bárij	eebi->iäb´bá
N+Sg+Acc	iäb´bár		Akk.	iäb´bár	eebi->iäb´bá	iäb´bárijd	eebi->iäb´bá
N+Sg+Ill	iäb´bárân		Ill.	iäb´bárân	eebi->iäb´bá	iäb´báráid	eebi->iäb´bá
N+Sg+Loc	iäb´bárist		Lokat.	iäb´bárist	eebi->iäb´bá	iäb´bárijn	eebi->iäb´bá
N+Sg+Com	iäb´báráin		Kom. 	iäb´báráin	eebi->iäb´bá	iäb´bárijguin	eebi->iäb´bá
N+Sg+Abe	iäb´bárttáá		Abess.	iäb´bárttáá	eebi->iäb´bá	iäb´bárijttáá	eebi->iäb´bá
N+Ess	[iäb´bárin, ebirin]		Ess.	iäb´bárin	eebi->iäb´bá		
N+Par	[iäb´bárid, ebirid]			ebirin			
N+Pl+Nom	iäb´báreh		part.	iäb´bárid	eebi->iäb´bá		
N+Pl+Gen	iäb´bárij			ebirid			
N+Pl+Acc	iäb´bárijd						
N+Pl+Ill	iäb´báráid						
N+Pl+Loc	iäb´bárijn						
N+Pl+Com	iäb´bárijguin						
N+Pl+Abe	iäb´bárijttáá						
							
							
							
							
							
			2a				
			KIÄRGUS				
			d-kk				
Noun - kiärgus:	# 2A d -kk, rg > r'g		rg->r´g				
N+Sg+Nom	kiärgus		Nom. 	kiärgus		kiär´guseh	rg->r´g
N+Sg+Gen	kiär´gus		Gen.	kiär´gus	rg->r´g	kiär´gusij	rg->r´g
N+Sg+Acc	kiär´gus		Akk.	kiär´gus	rg->r´g	kiär´gusijd	rg->r´g
N+Sg+Ill	kiär´gusân		Ill.	kiär´gusân	rg->r´g	kiär´gusáid	rg->r´g
