[eebir: iäbbár , iäbbárân , iäbbárist , iäbbáráin
diabetijkkár : diabetijkkáráin, diabetijkkárist, diabetijkkárân, diabetijkkár
diagnoos : diagnoosáin, diagnoosist, diagnoosân, diagnoos
diakon : diakonáin, diakonist, diakonân, diakon
dieet : dieetijn, dieetist, dieetân, dieet
diftoŋ : diftoŋáin, diftoŋist, diftoŋân, diftoŋ
diktaattor : diktaattoráin, diktaattorist, diktaattorân, diktaattor
dinosaurus : dinosaurusáin, dinosaurusist, dinosaurusân, dinosaurus
diplom : diplomáin, diplomist, diplomân, diplom
direktiiv : direktiiváin, direktiivist, direktiivân, direktiiv
disket : disketáin, disketist, disketân, disket
dokument : dokumentáin, dokumentist, dokumentân, dokument
dollar : dollaráin, dollarist, dollarân, dollar
dollár : dolláráin, dollárist, dollárân, dollár
dooseent : dosenttáin, dosenttist, dosenttân, doosent
draama : draamain, draamast, draaman, draama
duuri : duurijn, duurist, duurin, duuri
dynámit : dynámitáin, dynámitist, dynámitân, dynámit
eebir : iäbbáráin, iäbbárist, iäbbárân, iäbbár
eehid : eehid , ehidân , ehidist , ehidáin
eellim : elimáin, elimist, elimân, eellim
eellimpiirâs : eellimpirrâsáin, eellimpirrâsist, eellimpirrâsân, eellimpirrâs
eemeed : eemeed , emedân , emedist , emedáin
eemeed : emedáin, emedist, emedân, eemeed
eennâm : enâmáin, enâmist, enâmân, eennâm
eennâmviljâleijee : eennâmviljâleijein, eennâmviljâleijest, eennâmviljâleijei, eennâmviljâleijee
eerhim : erhimáin, erhimist, erhimân, eerhim
eestâ : estuin, estust, estui, estuu
eestâkaččâm : eestâkaččâmáin, eestâkaččâmist, eestâkaččâmân, eestâkaččâm
eetaan : etanáin, etanist, etanân, eetaan
eetaap : etapáin, etapist, etapân, eetaap
eetik : etikáin, etikist, etikân, eetik
eetik : etikkáin, etikkist, etikkân, eetik
eeveerst : everstáin, everstist, everstân, eeveerst
eeči : eeji , iäčán , eejist , eijijn
eeči : eijijn, eejist, iäčán, eeji
eečimii : eečimiin, eečimiist, eečimiin, eečimii
eimâskâs : eimâskâssáin, eimâskâsâst, eimâskâsân, eimâskâs
ekonomia : ekonomiain, ekonomiast, ekonomian, ekonomia
eksponent : eksponentáin, eksponentist, eksponentân, eksponent
ekstaas : ekstaasáin, ekstaasist, ekstaasân, ekstaas
ekvivalens : ekvivalensáin, ekvivalensist, ekvivalensân, ekvivalens
elektroniik : elektroniikáin, elektroniikist, elektroniikân, elektroniik
element : elementáin, elementist, elementân, element
ellee : ellein, ellest, ellei, ellee
elleikärdin : elleikärdináin, elleikärdinist, elleikärdinân, elleikärdin
emedâš : emedáá , emedâžân , emedáást , emedáin
energia : energiain, energiast, energian, energia
ennusteijee : ennusteijein, ennusteijest, ennusteijei, ennusteijee
ennustâs : ennustâssáin, ennustâsâst, ennustâsân, ennustâs
enâmistvärrejeijee : enâmistvärrejeijein, enâmistvärrejeijest, enâmistvärrejeijei, enâmistvärrejeijee
enâmânvärrejeijee : enâmânvärrejeijein, enâmânvärrejeijest, enâmânvärrejeijei, enâmânvärrejeijee
epileptijkkár : epileptijkkáráin, epileptijkkárist, epileptijkkárân, epileptijkkár
erakko : erakkoin, erakkost, erakkon, erakko
eroosio : eroosioin, eroosiost, eroosion, eroosio
erotiik : erotiikáin, erotiikist, erotiikân, erotiik
estim : estimáin, estimist, estimân, estim
etiket : etiketáin, etiketist, etiketân, etiket
etimâs : etimâssáin, etimâsâst, etimâsân, etimâs
etišliäđgoo : etišliäđgoin, etišliäđgost, etišliäđgoi, etišliäđgoo
etâmâš : etâmâššáin, etâmâšâst, etâmâšân, etâmâš
euro : euro , euron , eurost , euroin
euro : euroin, eurost, euron, euro
evakko : evakkoin, evakkost, evakkon, evakko
evangelium : evangeliumáin, evangeliumist, evangeliumân, evangelium
evvis : evvisáin, evvisist, evvisân, evvis
eŋgâl : eŋgâláin, eŋgâlist, eŋgâlân, eŋgâl
faadâr : faddâráin, faddârist, faddârân, faddâr
faanin : faanináin, faaninist, faaninân, faanin
faarpâl : farppâláin, farppâlist, farppâlân, farppâl
faasaan : fasanáin, fasanist, fasanân, faasaan
fabrik : fabrikáin, fabrikist, fabrikân, fabrik
fakta : faktain, faktaast, faaktan, fakta
fardâ : fardáin, faardâst, faardân, faardâ
farmaseut : farmaseutáin, farmaseutist, farmaseutân, farmaseut
fasism : fasismáin, fasismist, fasismân, fasism
faskottâs : faskottâssáin, faskottâsâst, faskottâsân, faskottâs
faŋgim : faŋgiimáin, faŋgiimist, faŋgiimân, faŋgim
