[eebir: iäbbár , iäbbárân , iäbbárist , iäbbáráin
kritijkkár : kritijkkáráin, kritijkkárist, kritijkkárân, kritijkkár
krokodiil : krokodiiláin, krokodiilist, krokodiilân, krokodiil
kromosom : kromosomáin, kromosomist, kromosomân, kromosom
krysanteem : krysanteemáin, krysanteemist, krysanteemân, krysanteem
kubbeel : kubeláin, kubelist, kubelân, kubbeel
kubbool : kuboláin, kubolist, kubolân, kubbool
kublâkkâs : kublâkkâssáin, kublâkkâsâst, kublâkkâsân, kublâkkâs
kuccoom : kucomáin, kucomist, kucomân, kuccoom
kuddum : kudduumáin, kudduumist, kudduumân, kuddum
kuha : kuhain, kuhast, kuhan, kuha
kuhnur : kuhnuráin, kuhnurist, kuhnurân, kuhnur
kukká : kukkáin, kukkáást, kuukán, kuká
kukká : kuká , kuukán , kukkáást , kukkáin
kukkásiipuul : kukkásipulijn, kukkásipulist, kukkásipulin, kukkásiipuul
kukse : kuvse , kuuksán , kuvseest , kuvssijn
kukse : kuvssijn, kuvseest, kuuksán, kuvse
kuldâleijee : kuldâleijein, kuldâleijest, kuldâleijei, kuldâleijee
kuldâlmâs : kuldâlmâssáin, kuldâlmâsâst, kuldâlmâsân, kuldâlmâs
kulluuttâs : kulluuttâssáin, kulluuttâsâst, kulluuttâsân, kulluuttâs
kulo : kulo , kulon , kuuloost , kuloin
kulottâs : kulottâssáin, kulottâsâst, kulottâsân, kulottâs
kulttuur : kulttuuráin, kulttuurist, kulttuurân, kulttuur
kulâtteijee : kulâtteijein, kulâtteijest, kulâtteijei, kulâtteijee
kumeštâs : kumeštâssáin, kumeštâsâst, kumeštâsân, kumeštâs
kumi : kumijn, kumist, kumin, kumi
kumppi : kuumpi , kuumpin , kuumpist , kumppijn
kumâttâs : kumâttâssáin, kumâttâsâst, kumâttâsân, kumâttâs
kunnee : kunnein, kunnest, kunnei, kunnee
kunnâ : kuunáin, kuunâst, kuunân, kuunâ
kunnâ : kuunâ , kuunân , kuunâst , kuunáin
kunâgâs : kunâgâs , kunâgâsân , kunâgâsâst , kunâgâssáin
kunâgâs : kunâgâssáin, kunâgâsâst, kunâgâsân, kunâgâs
kunâgâskuálásteijee : kunâgâskuálásteijein, kunâgâskuálásteijest, kunâgâskuálásteijei, kunâgâskuálásteijee
kunâgâtâr : kunâgâtâráin, kunâgâtârist, kunâgâtârân, kunâgâtâr
kuobâr : kuobbâráin, kuobbârist, kuobbârân, kuobbâr
kuobžâ : kuobžáin, kuobžâst, kuobžân, kuobžâ
kuobžâpivdemmaainâs : kuobžâpivdemmainâsáin, kuobžâpivdemmainâsist, kuobžâpivdemmainâsân, kuobžâpivdemmainâs
kuohâm : kuohâmáin, kuohâmist, kuohâmân, kuohâm
kuolbâ : kuolbân , kuolbânân , kuolbânist , kuolbânáin
kuolbâ : kuolbânáin, kuolbânist, kuolbânân, kuolbân
kuolmâs : kuolmâsáin, kuolmâsist, kuolmâsân, kuolmâs
kuonâ : kuonáin, kuonâst, kuonân, kuonâ
kuopsâ : kuopsáin, kuopsâst, kuopsân, kuopsâ
kuopâ : kuoppuin, kuoppust, kuoppui, kuoppuu
kuorgâ : kuorgáin, kuorgâst, kuorgân, kuorgâ
kuorgâ : kuorgâ , kuorgân , kuorgâst , kuorgáin
kuoro : kuoroin, kuorost, kuoron, kuoro
kuorâ : kuoráin, kuorâst, kuorân, kuorâ
kuorâttâllâm : kuorâttâlmáin, kuorâttâlmist, kuorâttâlmân, kuorâttâllâm
kuoskâttâs : kuoskâttâssáin, kuoskâttâsâst, kuoskâttâsân, kuoskâttâs
kuosâ : kuosáin, kuosâst, kuosân, kuosâ
kuovđâkuáskim : kuovđâkuáskimáin, kuovđâkuáskimist, kuovđâkuáskimân, kuovđâkuáskim
kuovđâmerâkuáskim : kuovđâmerâkuáskimáin, kuovđâmerâkuáskimist, kuovđâmerâkuáskimân, kuovđâmerâkuáskim
kuovđâšm : kuovđâšmáin, kuovđâšmist, kuovđâšmân, kuovđâšm
kuoškâ : kuoškáin, kuoškâst, kuoškân, kuoškâ
kuoškâlyeštim : kuoškâlyeštimáin, kuoškâlyeštimist, kuoškâlyeštimân, kuoškâlyeštim
kuppá : kuppáin, kuppáást, kuupán, kupá
kurkkâ : kurkkáin, kuurkâst, kuurkân, kuurkâ
kurkkâ : kuurkâ , kuurkân , kuurkâst , kurkkáin
kurpicca : kurpiccain, kurpiccast, kurpiccan, kurpicca
kurrâ : kuuráin, kuurâst, kuurân, kuurâ
kurrâ : kuurâ , kuurân , kuurâst , kuuráin
kursiiv : kursiiváin, kursiivist, kursiivân, kursiiv
kussâ : kuusâ , kuusân , kuusâst , kussáin
kutkâ : kuđháin, kuuđhâst, kuutkân, kuuđhâ
kuuhâs : kukkâsáin, kukkâsist, kukkâsân, kukkâs
kuumiin : kumináin, kuminist, kuminân, kuumiin
kuuri : kuurijn, kuurist, kuurin, kuuri
kuusâš : kussii , kusâžân , kussiist , kussijn
kuuđâlm : kuđâlmáin, kuđâlmist, kuđâlmân, kuuđâlm
kuuđâš : kuuđii , kuđâžân , kuuđiist , kuuđijn
kuvvim : kuvviimáin, kuvviimist, kuvviimân, kuvvim
kuvâttâllâm : kuvâttâlmáin, kuvâttâlmist, kuvâttâlmân, kuvâttâllâm
kuáccee : kuáccein, kuáccest, kuáccei, kuáccee
kuáddá : kuádá , kuádán , kuádást , kuáddáin
kuággum : kuággumáin, kuággumist, kuággumân, kuággum
kuáhtu : kuáhtu , kuáhtun , kuáhtust , kuáhtoin
kuáhčá : kuávčá , kuáhčán , kuávčást , kuávččáin
kuáijim : kuájimáin, kuájimist, kuájimân, kuáijim
kuáivu : kuáivu , kuáivun , kuáivust , kuáivoin
kuáivum : kuáivumáin, kuáivumist, kuáivumân, kuáivum
kuálmádâs : kuálmádâssáin, kuálmádâsâst, kuálmádâsân, kuálmádâs
kuálus : kuállus , kuállusân , kuállusist , kuállusáin
kuálástus : kuálástusáin, kuálástusist, kuálástusân, kuálástus
kuálááš : kuáláá , kuálážân , kuáláást , kuáláin
kuálŋánem : kuálŋánmáin, kuálŋánmist, kuálŋánmân, kuálŋánem
kuámmir : kuámmiráin, kuámmirist, kuámmirân, kuámmir
kuámui : kuommuin, kuommust, kuommui, kuommuu
kuánnil : kuánniláin, kuánnilist, kuánnilân, kuánnil
kuáppil : kuáppiláin, kuáppilist, kuáppilân, kuáppil
kuárroo : kuárroin, kuárrost, kuárroi, kuárroo
kuárttil : kuárttiláin, kuárttilist, kuárttilân, kuárttil
kuárádâs : kuárádâssáin, kuárádâsâst, kuárádâsân, kuárádâs
kuárŋum : kuárŋumáin, kuárŋumist, kuárŋumân, kuárŋum
kuáskim : kuáskimáin, kuáskimist, kuáskimân, kuáskim
kuástideijee : kuástideijein, kuástideijest, kuástideijei, kuástideijee
kuástidem : kuástidmáin, kuástidmist, kuástidmân, kuástidem
kuástádâs : kuástádâssáin, kuástádâsâst, kuástádâsân, kuástádâs
kuáttun : kuátunáin, kuátunist, kuátunân, kuáttun
kuávdáš : kuávdáá , kuávdážân : kuávdáást , kuávdáin
kuávlu : kuávlu , kuávlun , kuávlust , kuávloin
kuávská : kuávská , kuávskán , kuávskást , kuávskáin
kuávsui : kuoksuin, kuoksust, kuoksui, kuoksuu
kuávsui : kuoksuu , kuoksui , kuoksust , kuoksuin
kuáđhuš : kuođhuu , kuáđhužân , kuođhuust , kuođhuin
kuáškuttâs : kuáškuttâssáin, kuáškuttâsâst, kuáškuttâsân, kuáškuttâs
kuáškánjâš : kuáškánjâššáin, kuáškánjâšâst, kuáškánjâšân, kuáškánjâš
kuáđutteijee : kuáđutteijein, kuáđutteijest, kuáđutteijei, kuáđutteijee
kuáššoo : kuáššoin, kuáššost, kuáššoi, kuáššoo
kuškim : kuškiimáin, kuškiimist, kuškiimân, kuškim
kuškâdâs : kuškâdâssáin, kuškâdâsâst, kuškâdâsân, kuškâdâs
kužžoom : kužomáin, kužomist, kužomân, kužžoom
kvaliteet : kvaliteetáin, kvaliteetist, kvaliteetân, kvaliteet
kyeddee : kyeddein, kyeddest, kyeddei, kyeddee
kyeddim : kyeddimáin, kyeddimist, kyeddimân, kyeddim
kyeimi : kuoimijn, kyeimist, kuáimán, kyeimi
kyeimi : kyeimi , kuáimán , kyeimist , kuoimijn
kyeli : kyele , kuálán , kyeleest , kuolijn
kyeppir : kyepiráin, kyepirist, kyepirân, kyeppir
kyevdikuáskim : kyevdikuáskimáin, kyevdikuáskimist, kyevdikuáskimân, kyevdikuáskim
kyevtis : kuáhtásáin, kuáhtásist, kuáhtásân, kuáhtás
kyeškir : kyeškiráin, kyeškirist, kyeškirân, kyeškir
kyeškirčuáimáš : kyeškirčuáimáin, kyeškirčuáimáást, kyeškirčuáimážân, kyeškirčuáimáá
kyeđđim : kyeđđimáin, kyeđđimist, kyeđđimân, kyeđđim
káidusliegâs : káiduslieggâsáin, káiduslieggâsist, káiduslieggâsân, káiduslieggâs
káigá : káigáin, kááigást, kááigán, kááigá
káigá : kááigá , kááigán , kááigást , káigáin
káijoo : káijoin, káijost, káijoi, káijoo
káiru : káiroin, kááirust, kááirun, kááiru
káivu : káivoin, kááivust, kááivun, kááivu
káivu : kááivu , kááivun , kááivust , káivoin
kákká : káhháin, kááhást, káákán, kááhá
kálgu : kálgoin, káálgust, káálgun, káálgu
kálgu : káálgu , káálgun , káálgust , kálgoin
kállu : káálu , káálun , káálust , kálloin
kálvu : kálvoin, káálvust, káálvun, káálvu
kálvu : káálvu , káálvun , káálvust , kálvoin
kámppá : kámppáin, kámppáást, káámpán, kámpá
kámppá : kámpá , káámpán , kámppáást , kámppáin
kárbáinjottee : kárbáinjottein, kárbáinjottest, kárbáinjottei, kárbáinjottee
kárgu : kárgoin, káárgust, káárgun, káárgu
kárgu : káárgu , káárgun , káárgust , kárgoin
kárttá : kárttáin, kárttáást, káártán, kártá
kárttá : kártá , káártán , kárttáást , kárttáin
káránâs : káránâs , káránâsân , káránâsâst , káránâssáin
káránâs : káránâssáin, káránâsâst, káránâsân, káránâs
káttu : káátu , káátun , káátust , káttoin
káttus : káttusáin, káttusist, káttusân, káttus
kááccát : kácáttáin, kácáttist, kácáttân, kááccát
kááhuš : kahhuin, kahhuust, kahhuužân, kahhuu
kááhuš : kahhuu , [káhužân, kahhuužân] , kahhuust , kahhuin
káánááš : káánáá , kánážân , káánáást , kánáin
kááđus : káttusáin, káttusist, káttusân, káttus
kähtee : kähtein, kähtest, kähtei, kähtee
käibi : kaibijn, kääibist, kááibán, kääibi
käibi : kääibi , kááibán , kääibist , kaibijn
käldee : käldein, käldest, käldei, käldee
kärbisruossâlistem : kärbisruossâlistmáin, kärbisruossâlistmist, kärbisruossâlistmân, kärbisruossâlistem
kärbisvuáđukuoskâm : kärbisvuáđukuoskâmáin, kärbisvuáđukuoskâmist, kärbisvuáđukuoskâmân, kärbisvuáđukuoskâm
kärdin : kärdináin, kärdinist, kärdinân, kärdin
kärjil : kärjiláin, kärjilist, kärjilân, kärjil
kärree : kärrein, kärrest, kärrei, kärree
kärŋiláájuš : kärŋilaijuin, kärŋilaijuust, kärŋilaijuužân, kärŋilaijuu
käskee : käskein, käskest, käskei, käskee
kässih : kässiháin, kässihist, kässihân, kässih
kävildeijee : kävildeijein, kävildeijest, kävildeijei, kävildeijee
kävppijâs : kävppijâssáin, kävppijâsâst, kävppijâsân, kävppijâs
käädis : káddásáin, káddásist, káddásân, káddás
käägis : kággáin, kággást, kággás, kággá
käähir : kähiráin, kähirist, kähirân, käähir
käälis : kálláin, kállást, kállás, kállá
käämmin : kämináin, käminist, käminân, käämmin
kääppil : käpiláin, käpilist, käpilân, kääppil
käärbis : kárbá , kárbás , kárbást , kárbáin
käärbis : kárbáin, kárbást, kárbás, kárbá
kääri : kaarijn, käärist, káárán, kääri
käärig : kärigáin, kärigist, kärigân, käärig
käävcis : káhcásáin, káhcásist, káhcásân, káhcás
käävir : käähir , kähirân , kähirist , kähiráin
käŋŋir : käŋŋiráin, käŋŋirist, käŋŋirân, käŋŋir
laager : laageráin, laagerist, laagerân, laager
laahul : laahuláin, laahulist, laahulân, laahul
laahâ : laavâ , laahân , laavâst , lavváin
laahâ : lavváin, laavâst, laahân, laavâ
laaiđâs : laiđâs , laiđâsân , laiđâsist , laiđâsáin
laakaan : lakanáin, lakanist, lakanân, laakaan
laaneel : laneláin, lanelist, lanelân, laaneel
laanjâs : lanjâsáin, lanjâsist, lanjâsân, laannjâs
laanâ : laanáin, laanâst, laanân, laanâ
laapâs : lappâsáin, lappâsist, lappâsân, lappâs
laastar : laastaráin, laastarist, laastarân, laastar
laasâ : laasáin, laasâst, laasân, laasâ
laava : laava , laavan , laavast , laavain
laava : laavain, laavast, laavan, laava
laavlâ : lavluin, lavlust, lavlui, lavluu
laavlâ : lavluu , lavlui , lavlust , lavluin
labdos : labdosáin, labdosist, labdosân, labdos
labyrint : labyrintáin, labyrintist, labyrintân, labyrint
laggiittâs : laggiittâssáin, laggiittâsâst, laggiittâsân, laggiittâs
lahcâ : laavcâ , laahcân , laavcâst , lavccáin
lahko : lahko , laahkon , lahkoost , lahkoin
lahko : lahkoin, lahkoost, laahkon, lahko
lahna : lahna , laahnan , lahnaast , lahnain
lahna : lahnain, lahnaast, laahnan, lahna
lahna : lahnain, lahnast, lahnan, lahna
lahtos : lahtosáin, lahtosist, lahtosân, lahtos
lahtâdâs : lahtâdâssáin, lahtâdâsâst, lahtâdâsân, lahtâdâs
lahâasâttemoornig : lahâasâttemoornigáin, lahâasâttemoornigist, lahâasâttemoornigân, lahâasâttemoornig
lahâasâttemorgaan : lahâasâttemorgaanáin, lahâasâttemorgaanist, lahâasâttemorgaanân, lahâasâttemorgaan
lahâkevttim : lahâkevttimáin, lahâkevttimist, lahâkevttimân, lahâkevttim
lahâkevttimorgaan : lahâkevttimorgaanáin, lahâkevttimorgaanist, lahâkevttimorgaanân, lahâkevttimorgaan
lahâčuorvâ : lahâčuorvuin, lahâčuorvust, lahâčuorvui, lahâčuorvuu
laigom : laigomáin, laigomist, laigomân, laigom
laigos : laigosáin, laigosist, laigosân, laigos
laiđiittâs : laiđiittâssáin, laiđiittâsâst, laiđiittâsân, laiđiittâs
lajo : lajo , lajon , laajoost , lajoin
lakka : lakkain, lakkaast, laakan, laka
lakke : lahe , laakan , lahheest , lohhijn
lakke : lohhijn, lahheest, laakan, lahe
lakric : lakricáin, lakricist, lakricân, lakric
lakrits : lakritsáin, lakritsist, lakritsân, lakrits
laktoos : laktoosáin, laktoosist, laktoosân, laktoos
lamppu : laampu , laampun , laampust , lamppuin
lanne : lane , laanan , lanneest , lonnijn
lanttu : laantu , laantun , laantust , lanttuin
lappum : lappuumáin, lappuumist, lappuumân, lappum
lappâdjottee : lappâdjottein, lappâdjottest, lappâdjottei, lappâdjottee
larmâ : larmáin, laarmâst, laarmân, laarmâ
larmâdeijee : larmâdeijein, larmâdeijest, larmâdeijei, larmâdeijee
larmâdâs : larmâdâssáin, larmâdâsâst, larmâdâsân, larmâdâs
lasanem : lasanem , lassaanmân , lassaanmist , lassaanmáin
lasattâs : lasattâssáin, lasattâsâst, lasattâsân, lasattâs
lasebudjet : lasebudjetáin, lasebudjetist, lasebudjetân, lasebudjet
lasemáksu : lasemávssoin, lasemáávsust, lasemááksun, lasemáávsu
lastik : lastikáin, lastikist, lastikân, lastik
lastâ : lastáin, laastâst, laastân, laastâ
lattim : lattiimáin, lattiimist, lattiimân, lattim
lavdâm : lavdâmáin, lavdâmist, lavdâmân, lavdâm
lavkkâ : laavhâ , laavkân , laavhâst , lavháin
lavkkâ : lavháin, laavhâst, laavkân, laavhâ
lavâlistem : lavâlistmáin, lavâlistmist, lavâlistmân, lavâlistem
lavđâ : lavđáin, laavđâst, laavđân, laavđâ
laŋkku : laaŋku , laaŋkun , laaŋkust , laŋkkuin
leeibâšk : leibâškáin, leibâškist, leibâškân, leeibâšk
leeji : leje , liäján , leejeest , leijijn
leemnâ : lemnuin, lemnust, lemnui, lemnuu
leenâ : leenáin, leenâst, leenân, leenâ
leibi : leeibi , liäibán , leeibist , leibijn
leibi : leibijn, leeibist, liäibán, leeibi
leijoon : leijonáin, leijonist, leijonân, leijoon
leirâ : leiráin, leeirâst, leeirân, leeirâ
lekkâ : leehâ , leekân , leehâst , lehháin
lenccu : leencu , leencun , leencust , lenccuin
lensman : lensmanáin, lensmanist, lensmanân, lensman
leskâ : leskáin, leeskâst, leeskân, leeskâ
lestâ : lestáin, leestâst, leestân, leestâ
liccân : liccânáin, liccânist, liccânân, liccân
lieggiittâs : lieggiittâssáin, lieggiittâsâst, lieggiittâsân, lieggiittâs
lieggim : lieggiimáin, lieggiimist, lieggiimân, lieggim
liemâ : liemáin, liemâst, liemân, liemâ
lievlâ : lievláin,lievlâst, lievlân, lievlâ
lievlâ : lievlâ , lievlân , lievlâst , lievláin
liider : liideráin, liiderist, liiderân, liider
liidu : liidu , liidun , liidust , liiduin
liidu : liiduin, liidust, liidun, liidu
lijmá : liijmá , liijmán , liijmást , lijmáin
lijmá : lijmáin, liijmást, liijmán, liijmá
likkâm : likkâmáin, likkâmist, likkâmân, likkâm
liljá : liljá , liilján , liljáást , liljáin
liljá : liljáin, liljáást, liilján, liljá
limonaad : limonaadijn, limonaadist, limonaadin, limonaad
linjá : linjá , liinján , linjáást , linjáin
linjá : linjáin, linjáást, liinján, linjá
lippo : lipo , liipon , lippoost , lippoin
lippo : lippoin, lippoost, liipon, lipo
lippu : liipu , liipun , liipust , lippuin
lippâr : lippâráin, lippârist, lippârân, lippâr
lirrân : lirrânáin, lirrânist, lirrânân, lirrân
listo : listo , liiston , listoost , listoin
listo : listoin, listoost, liiston, listo
litte : lite , liitán , litteest , littijn
litter : litter , litterân , litterist , litteráin
litter : litteráin, litterist, litterân, litter
litto : lito , liiton , littoost , littoin
litto : littoin, littoost, liiton, lito
livkkár : livkkáráin, livkkárist, livkkárân, livkkár
liäiboo : liäiboin, liäibost, liäiboi, liäiboo
liäibum : liäibumáin, liäibumist, liäibumân, liäibum
liäksu : liävssoin, liävsust, liäksun, liävsu
liäpu : liävoin, liävust, liäpun, liävu
liäškoo : liäškoin, liäškost, liäškoi, liäškoo
liäškum : liäškumáin, liäškumist, liäškumân, liäškum
liäđus : liäđđusáin, liäđđusist, liäđđusân, liäđđus
liškepuurâs : liškepurâsáin, liškepurâsist, liškepurâsân, liškepurrâs
liššá : lišá , liišán , liššáást , liššáin
liššá : liššáin, liššáást, liišán, lišá
liččân : liččânáin, liččânist, liččânân, liččân
lodde : lode , loodán , loddeest , luddijn
loddááš : loddáá , loddáážân , loddáást , loddáin
lohhee : lohhein, lohhest, lohhei, lohhee
lohđuttâs : lohđuttâssáin, lohđuttâsâst, lohđuttâsân, lohđuttâs
lokke : lohe , lookán , lohheest , luhhijn
lokke : luhhijn, lohheest, lookán, lohe
lonnjâ : loonjáin, loonjâst, loonjân, loonjâ
lonnoom : lonomáin, lonomist, lonomân, lonnoom
lonottâs : lonottâssáin, lonottâsâst, lonottâsân, lonottâs
loovdâ : lovduin, lovdust, lovdui, lovduu
loová : , loová , loován , loovást , loováin
loová : loováin, loovást, loován, loová
lope : love , lopán , looveest , luuvijn
loppiittâs : loppiittâssáin, loppiittâsâst, loppiittâsân, loppiittâs
loppim : loppiimáin, loppiimist, loppiimân, loppim
loppook : lopokkáin, lopokkist, lopokkân, loppook
loppâ : loopâ , loopân , loopâst , loppáin
lopádâs : lopádâssáin, lopádâsâst, lopádâsân, lopádâs
lopâttâs : lopâttâssáin, lopâttâsâst, lopâttâsân, lopâttâs
lostâ : lostáin, loostâst, loostân, loostâ
losádâs : losádâssáin, losádâsâst, losádâsân, losádâs
lovnim : lovniimáin, lovniimist, lovniimân, lovnim
lovnâ : lovnáin, loovnâst, loovnân, loovnâ
lovádâs : lovádâssáin, lovádâsâst, lovádâsân, lovádâs
luccááttâs : luccááttâssáin, luccááttâsâst, luccááttâsân, luccááttâs
luhtee : luhtein, luhtest, luhtei, luhtee
luistin : luistin , luistimân , luistimist , luistimáin
lukko : luho , luukon , luhhoost , luhhoin
lukkár : lukkáráin, lukkárist, lukkárân, lukkár
luksus : luksusáin, luksusist, luksusân, luksus
luobbâsk : luobâskáin, luobâskist, luobâskân, luobbâsk
luobâl : luobbâláin, luobbâlist, luobbâlân, luobbâl
luoddânem : luoddânmáin, luoddânmist, luoddânmân, luoddânem
luohčâm : luohčâmáin, luohčâmist, luohčâmân, luohčâm
luoidâmâs : luoidâmâssáin, luoidâmâsâst, luoidâmâsân, luoidâmâs
luoihâtteijee : luoihâtteijein, luoihâtteijest, luoihâtteijei, luoihâtteijee
luokka : luoka , luokan , luokkaast , luokkain
luokka : luokkain, luokkaast, luokan, luoka
luopsâ : luopsáin, luopsâst, luopsân, luopsâ
luostar : luostaráin, luostarist, luostarân, luostar
luosâ : luosáin, luosâst, luosân, luosâ
luovâsmittem : luovâsmitmáin, luovâsmitmist, luovâsmitmân, luovâsmittem
luoštâ : luoštuin, luoštust, luoštui, luoštuu
luođâ : luođáin, luođâst, luođân, luođâ
luptâ : luptáin, luuptâst, luuptân, luuptâ
luubbâsk : lubâskáin, lubâskist, lubâskân, luubbâsk
luuhâmoornig : luuhâmoornigáin, luuhâmoornigist, luuhâmoornigân, luuhâmoornig
luumu : luumuin, luumust, luumun, luumu
luutnant : luutnantáin, luutnantist, luutnantân, luutnant
luvdá : luvdáin, luuvdást, luuvdán, luuvdá
luvâttâllâm : luvâttâlmáin, luvâttâlmist, luvâttâlmân, luvâttâllâm
luáddum : luáddumáin, luáddumist, luáddumân, luáddum
luákkum : luákkumáin, luákkumist, luákkumân, luákkum
luákká : luáhá , luákán , luáhást , luáhháin
luákkánjuškejeijee : luákkánjuškejeijein, luákkánjuškejeijest, luákkánjuškejeijei, luákkánjuškejeijee
luámu : luámu , luámun , luámust , luámoin
luámutteijee : luámutteijein, luámutteijest, luámutteijei, luámutteijee
luándu : luándu , luándun , luándust , luándoin
luándusuojâleijee : luándusuojâleijein, luándusuojâleijest, luándusuojâleijei, luándusuojâleijee
luáttámuš : luáttámuššáin, luáttámušâst, luáttámušân, luáttámuš
luŋkke : luŋke , luuŋkán , luŋkkeest , luŋkkijn
luččâ : luujáin, luujâst, luučân, luujâ
lyeivee : lyeivein, lyeivest, lyeivei, lyeivee
lyeme : luámmán , luámánân , luámánist , luámánáin
lyeme : luámánáin, luámánist, luámánân, luámmán
lyevdi : lyevdi , luávdán , lyevdist , luovdijn
lyeđejeijee : lyeđejeijein, lyeđejeijest, lyeđejeijei, lyeđejeijee
lyyra : lyyrain, lyyrast, lyyran, lyyra
lággá : láágá , láágán , láágást , lággáin
lágádâs : lágádâssáin, lágádâsâst, lágádâsân, lágádâs
láigu : láigoin, lááigust, lááigun, lááigu
láigu : lááigu , lááigun , lááigust , láigoin
láivudâs : láivudâssáin, láivudâsâst, láivudâsân, láivudâs
lássá : láásá , láásán , láásást , lássáin
lávlum : lávlumáin, lávlumist, lávlumân, lávlum
lááigunadeleijee : lááigunadeleijein, lááigunadeleijest, lááigunadeleijei, lááigunadeleijee
lááitus : láittusáin, láittusist, láittusân, láittus
láátu : lááđu , láátun , lááđust , lááđoin
láátu : láđo , láđo , láátun , lááđoost , láđoin
láátu : lááđoin, lááđust, láátun, lááđu
láávu : láávu , láávun , láávust , láávoin
lášmuttâllâm : lášmuttâlmáin, lášmuttâlmist, lášmuttâlmân, lášmuttâllâm
läbži : labžijn, lääbžist, láábžán, lääbži
läbži : lääbži , láábžán , lääbžist , labžijn
lädisäplig : lädisäpligáin, lädisäpligist, lädisäpligân, lädisäplig
lähji : lahjijn, läähjist, lááhján, läähji
lähji : läähji , lááhján , läähjist , lahjijn
lättee : lättein, lättest, lättei, lättee
lävvid : lävvidáin, lävvidist, lävvidân, lävvid
lääbis : lábbá , lábbás , lábbást , lábbáin
lääbis : lábbáin, lábbást, lábbás, lábbá
läällim : lälimáin, lälimist, lälimân, läällim
läämis : lámásáin, lámásist, lámásân, láámmás
läättin : lätináin, lätinist, lätinân, läättin
läđđee : läđđein, läđđest, läđđei, läđđee
maadâ : madduin, maddust, maddui, madduu
maadâr : maddâráin, maddârist, maddârân, maddâr
maaijuv : maijuin
maaijuv : maijuu , maijui , maijust , maijuin
maailm : maailmáin, maailmist, maailmân, maailm
maakkân : makânáin, makânist, makânân, maakkân
maalâ : maaláin, maalâst, maalân, maalâ
maarun : maarunáin, maarunist, maarunân, maarun
maastur : maasturáin, maasturist, maasturân, maastur
maađij : maađij , mađijân , mađijist , mađijáin
maađij : mađijáin, mađijist, mađijân, maađij
maađijrobdâ : robdáin, roobdâst, roobdân, roobdâ
maccâm : maccâmáin, maccâmist, maccâmân, maccâm
madrâs : madrâsáin, madrâsist, madrâsân, madrâs
magneet : magneetáin, magneetist, magneetân, magneet
mahtâ : mahtáin, maahtâst, maahtân, maahtâ
maila : maila , maailan , mailaast , mailain
maila : mailain, mailaast, maailan, maila
maila : mailain, mailast, mailan, maila
maister : maisteráin, maisterist, maisterân, maister
maivâ : maiváin, maaivâst, maaivân, maaivâ
makkuuttâs : makkuuttâssáin, makkuuttâsâst, makkuuttâsân, makkuuttâs
malmâ : malmáin, maalmâst, maalmân, maalmâ
mammut : mammutáin, mammutist, mammutân, mammut
mandel : mandeláin, mandelist, mandelân, mandel
mane : mane , manan , maaneest , moonijn 
manejođetteijee : manejođetteijein, manejođetteijest, manejođetteijei, manejođetteijee
mannee : mannein, mannest, mannei, mannee
mannekiin : mannekiináin, mannekiinist, mannekiinân, mannekiin
margarin : margarináin, margarinist, margarinân, margarin
marginaal : marginaaláin, marginaalist, marginaalân, marginaal
markkân : markkânáin, markkânist, markkânân, markkân
markkânistem : markkânistmáin, markkânistmist, markkânistmân, markkânistem
marmor : marmoráin, marmorist, marmorân, marmor
maskim : maskiimáin, maskiimist, maskiimân, maskim
materiaal : materiaaláin, materiaalist, materiaalân, materiaal
mavsâtteijee : mavsâtteijein, mavsâtteijest, mavsâtteijei, mavsâtteijee
mađhâšeijee : mađhâšeijein, mađhâšeijest, mađhâšeijei, mađhâšeijee
mecci : meccijn, meecist, miäcán, meeci
meccihoittájeijee : meccihoittájeijein, meccihoittájeijest, meccihoittájeijei, meccihoittájeijee
meccikalvem : meccikalvemáin, meccikalvemist, meccikalvemân, meccikalvem
meccisäplig : meccisäpligáin, meccisäpligist, meccisäpligân, meccisäplig
mecciuápis : mecciuáppásáin, mecciuáppásist, mecciuáppásân, mecciuáppás
meddâlistem : meddâlistmáin, meddâlistmist, meddâlistmân, meddâlistem
meeri : mere , miärán , meereest , meerijn
meerâ : meeráin, meerâst, meerân, meerâ
meetaal : metalláin, metallist, metallân, meetaal
meetter : meetteráin, meetterist, meetterân, meetter
meidim : meidimáin, meidimist, meidimân, meidim
mekanikkár : mekanikkáráin, mekanikkárist, mekanikkárân, mekanikkár
melodia : melodiain, melodiast, melodian, melodia
meriruttâ : meriruuđáin, meriruuđâst, meriruutân, meriruuđâ
merkkum : merkkuumáin, merkkuumist, merkkuumân, merkkum
merkkâ : merháin, meerhâst, meerkân, meerhâ
merâkuáskim : merâkuáskimáin, merâkuáskimist, merâkuáskimân, merâkuáskim
messig : messigáin, messigist, messigân, messig
meteoriit : meteoriitáin, meteoriitist, meteoriitân, meteoriit
meteorolog : meteorologáin, meteorologist, meteorologân, meteorolog
meteorologia : meteorologiain, meteorologiast, meteorologian, meteorologia
mettijâš : mettijáin, mettijáást, mettijâžân, mettijáá
miehâr : miehâráin, miehârist, miehârân, miehâr
mielgâ : mielgáin, mielgâst, mielgân, mielgâ
mielgâs : mielgâs , mielgâsân , mielgâsist , mielgâsáin
