1045557 
42469 já	já+CC
 191 Muoi	mun+Pron+Pers+Du1+Nom
 188 lappum	lappum+N+Sg+Nom
 188 lappum	lappum+N+Sg+Gen
 188 lappum	lappum+N+Sg+Acc
 185 Sust	sun+Pron+Pers+Sg3+Loc
 182 kielâpiervâl	kielâpiervâl+N+Sg+Nom
 182 kielâpiervâl	kielâpiervâl+N+Sg+Gen
 182 kielâpiervâl	kielâpiervâl+N+Sg+Acc
 181 Kost	Kost+OLang/UNDN+Prop+Sem/Org+Sg+Nom
 180 kiäin	kii+Pron+Interr+Pl+Loc
 179 kuuloold	kuuloold+Adv
 178 uáináh	uáináh+Adv
 178 láá-uv	leđe+V+IV+Ind+Prs+Pl3+Qst
 177 onne	onne+Adv
 175 nissoon	nissoon+N+Sg+Nom
 175 nissoon	nissoon+N+Sg+Gen
 175 nissoon	nissoon+N+Sg+Acc
 174 piärgu	piärgu+N+Sg+Nom
 174 piärgu	piärgu+N+Sg+Gen
 174 piärgu	piärgu+N+Sg+Acc
 169 Uulá	Uulá+N+Prop+Attr
 166 tot-uv	tot+Pron+Dem+Sg+Nom+Qst
 166 ohtuu	ohtuu+Adv
 166 Stuorrâ	Stuorrâ+N+Prop+Attr
 165 aassâm	aassâđ+V+Sg1
 164 olgon	olgon+Adv
 162 Toos	tot+Pron+Dem+Sg+Ill
 160 mane	mane+N+Sg+Nom
 160 Vuoli	vuoli+N+Sg+Nom
 160 Vuoli	vuoli+N+Sg+Gen
 160 Vuoli	vuoli+N+Sg+Acc
 159 kaavpugist	kaavpug+N+Sg+Loc
 158 Moh	mii+Pron+Interr+Pl+Nom
 157 Mist	mun+Pron+Pers+Pl1+Loc
 157 Ilmar	Ilmar+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 156 Itkonen	Itkonen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
 152 Äijih	äijih+N+Sg+Nom
 152 Äijih	äijih+N+Sg+Gen
 152 Äijih	äijih+N+Sg+Acc
 152 Äijih	Äijih+N+Prop+Sg+Nom
 151 ucceeb	ucceeb+Adv
 151 Anarâš	anarâš+N+Sg+Nom
 151 Anarâš	anarâš+N+Sg+Gen
 151 Anarâš	anarâš+N+Sg+Acc
 149 Antti	Antti+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 149 Antti	Antti+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
 149 Antti	Antti+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
 147 munnust	mun+Pron+Pers+Du1+Loc
 146 iävá	ij+V+Neg+Prs+Du3
 146 Kaari	Kaari+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
 146 Kaari	Kaari+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
 146 Kaari	Kaari+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
 144 Maggaar	maggaar+Pron+Indef
 140 sijjân	sun+Pron+Pers+Pl3+Ill
 139 iše	iše+N+Sg+Nom
 139 Sarre	Sarre+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
 139 Sarre	Sarre+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
 139 Sarre	Sarre+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
 138 Marttin	Martti+OLang/UNDN+Prop+Sem/Mal+Sg+Ill
 138 Marttin	Martti+OLang/UNDN+Prop+Sem/Mal+Ess
 138 Lii-uv	leđe+V+IV+Ind+Prs+Sg3+Qst
 137 äigin	äigi+N+Sg+Ill
 137 äigin	äigi+N+Ess
 137 tii	tun+Pron+Pers+Pl2+Gen
 136 sämmiliih	sämmilâš+N+Pl+Nom
 136 sämmiliih	sämmilâš+N+Pl+Abe
 136 Vistig	vistig+Adv
 135 tij	tun+Pron+Pers+Pl2+Nom
 135 tij	tun+Pron+Pers+Pl2+Acc
 135 peht	peht+Adv
 134 Erkki	Erkki+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 134 Erkki	Erkki+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
 134 Erkki	Erkki+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
 132 uáinusân	uáinusân+Adv
 131 kiän	kii+Pron+Interr+Sg+Gen
 130 eemeed	eemeed+N+Sg+Nom
 130 eemeed	eemeed+N+Sg+Gen
 130 eemeed	eemeed+N+Sg+Acc
 130 Maarit	Maarit+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
 130 Kaamâs	Kaamâs+N+Prop+Sg+Nom
 129 maggaargin	maggaar+Pron+Indef+Foc
 128 tanen	tot+Pron+Dem+Sg+Ess
 128 Ovdil	ovdil+Pr
 128 Ovdil	ovdil+Po
 126 tobdo	tobdo+N+Sg+Nom
 126 tobdo	tobdo+N+Sg+Gen
 126 tobdo	tobdo+N+Sg+Acc
 125 pajalist	pajalist+Adv
 124 Tain	tot+Pron+Dem+Pl+Loc
 124 Tain	Ta+CmpNP/None+OLang/UNDN+Prop+Sem/Plc+Sg+Com
 123 siämmáš	siämmáš+Adv
 123 iän	ij+V+Neg+Prs+Du1
 122 Veikko	Veikko+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 122 Veikko	Veikko+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
 122 Veikko	Veikko+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
 122 Natura	Natura+OLang/UNDN+Prop+Sem/Org+Sg+Nom
 122 Natura	Natura+OLang/UNDN+Prop+Sem/Org+Sg+Gen
 122 Natura	Natura+OLang/UNDN+Prop+Sem/Org+Sg+Acc
 122 Israel	Israel+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
 121 tothân	tot+Pron+Dem+Sg+Nom+Foc
 121 päikki	päikki+N+Sg+Nom
 121 päikki	päikki+N+Sg+Gen
 121 päikki	päikki+N+Sg+Acc
 120 Tääbbin	tääbbin+Adv
 120 Olthuis	Olthuis+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 119 Uccâ	Uccâ+N+Prop+Attr
 118 lijjii-uv	leđe+V+IV+Ind+Prt+Pl3+Qst
 116 Viijmâg	viijmâg+Adv
 116 Kielâ	kielâ+N+Sg+Nom
 116 Kielâ	kielâ+N+Sg+Gen
 116 Kielâ	kielâ+N+Sg+Acc
 115 Valle	Valle+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 115 Valle	Valle+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
 115 Valle	Valle+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
 114 tuon	tuot+Pron+Dem+Sg+Gen
 114 itten	itten+Adv
 112 Toi	tot+Pron+Dem+Pl+Gen
 112 Almai	almai+N+Sg+Nom
 112 Almai	almai+N+Sg+Gen
 112 Almai	almai+N+Sg+Acc
 112 Almai	Alma+OLang/UNDN+Prop+Sem/Fem+Pl+Gen
 111 várugávt	várugávt+Adv
 111 iho	iho+Adv
 111 Ijhân	ij+V+Neg+Prs+Sg3+Foc
 111 Hiärrá	hiärrá+N+Sg+Nom
 111 Hiärrá	hiärrá+N+Sg+Gen
